question_id,question,domain,candidate_alignment_band,candidate_alignment_review_rank,candidate_alignment_shared_term_count,candidate_alignment_shared_terms,candidate_alignment_coverage,candidate_alignment_selection_score,candidate_alignment_short_query,candidate_alignment_source,candidate_alignment_source_url,candidate_alignment_source_title,candidate_ddg_status,candidate_ddg_abstract_source,candidate_ddg_abstract_text,candidate_chunks,gold_chunk_ids,gold_answer,gold_status,review_method,reviewer_notes
CH-0042,Cách tính thuế thu nhập cá nhân mới nhất mới nhất năm nay (Mã CH-0042)?,general,HIGH_SIGNAL,1,6,"[""cá"", ""nhân"", ""nhập"", ""thu"", ""thuế"", ""tính""]",1.0,160.0,tính thuế thu nhập cá nhân,canonical_fetch_existing,https://thueonline.com/thue-tncn/,Tính Thuế Thu Nhập Cá Nhân (TNCN) 2026 - Công cụ Online Miễn Phí — Tính Thuế Online,DDG_API_OK,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0519,Mẹo chọn mua máy giặt tiết kiệm điện nước cho gia đình mới nhất năm nay (Mã CH-0519)?,general,HIGH_SIGNAL,2,5,"[""gia"", ""kiệm"", ""mẹo"", ""tiết"", ""đình""]",0.454545,95.4545,mẹo chọn mua máy giặt tiết kiệm điện,canonical_fetch_existing,https://vietnamnet.vn/doi-song/meo-vat,"Mẹo vặt cuộc sống - Các mẹo đơn giản, dễ làm chị em nên biết",DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0245,Hướng dẫn và quy định liên quan đến các trường đại học top đầu về ngành công nghệ thông tin (Mã CH-0245)?,general,HIGH_SIGNAL,3,5,"[""công"", ""học"", ""nghệ"", ""trường"", ""đại""]",0.3125,86.25,hướng dẫn quy định liên quan trường đại,canonical_fetch_existing,https://vi.wikipedia.org/wiki/Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_C%C3%B4ng_ngh%E1%BB%87_Th%C3%A0nh_ph%E1%BB%91_H%E1%BB%93_Ch%C3%AD_Minh,Trường Đại học Công nghệ Thành phố Hồ Chí Minh – Wikipedia tiếng Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0990,Tra cứu thông tin: Luật việt vị trong bóng đá được quy định cụ thể ra sao (Mã CH-0990)?,general,HIGH_SIGNAL,4,5,"[""cứu"", ""luật"", ""tra"", ""việt"", ""định""]",0.357143,85.7143,tra cứu thông tin luật việt vị bóng,canonical_fetch_existing,https://thuvienphapluat.vn/,"THƯ VIỆN PHÁP LUẬT _ Tra cứu, Nắm bắt Pháp Luật Việt Nam",DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0490,Tra cứu thông tin: Luật việt vị trong bóng đá được quy định cụ thể ra sao (Mã CH-0490)?,general,HIGH_SIGNAL,5,5,"[""cứu"", ""luật"", ""tra"", ""việt"", ""định""]",0.357143,85.7143,tra cứu thông tin luật việt vị bóng,canonical_fetch_existing,https://thuvienphapluat.vn/,"THƯ VIỆN PHÁP LUẬT _ Tra cứu, Nắm bắt Pháp Luật Việt Nam",DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0919,Tra cứu thông tin: Mẹo chọn mua máy giặt tiết kiệm điện nước cho gia đình (Mã CH-0919)?,general,HIGH_SIGNAL,6,5,"[""gia"", ""kiệm"", ""mẹo"", ""tiết"", ""đình""]",0.333333,83.3333,tra cứu thông tin mẹo chọn mua máy,canonical_fetch_existing,https://vietnamnet.vn/doi-song/meo-vat,"Mẹo vặt cuộc sống - Các mẹo đơn giản, dễ làm chị em nên biết",DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0419,Tra cứu thông tin: Mẹo chọn mua máy giặt tiết kiệm điện nước cho gia đình (Mã CH-0419)?,general,HIGH_SIGNAL,7,5,"[""gia"", ""kiệm"", ""mẹo"", ""tiết"", ""đình""]",0.333333,83.3333,tra cứu thông tin mẹo chọn mua máy,canonical_fetch_existing,https://vietnamnet.vn/doi-song/meo-vat,"Mẹo vặt cuộc sống - Các mẹo đơn giản, dễ làm chị em nên biết",DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0455,Tra cứu thông tin: Lịch thi tốt nghiệp THPT Quốc gia năm nay (Mã CH-0455)?,general,HIGH_SIGNAL,8,4,"[""nghiệp"", ""thi"", ""thông"", ""tốt""]",0.363636,81.3636,tra cứu thông tin lịch thi tốt nghiệp,canonical_fetch_existing,https://vi.wikipedia.org/wiki/K%E1%BB%B3_thi_t%E1%BB%91t_nghi%E1%BB%87p_trung_h%E1%BB%8Dc_ph%E1%BB%95_th%C3%B4ng,Kỳ thi tốt nghiệp trung học phổ thông – Wikipedia tiếng Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0921,Tra cứu thông tin: Quy định mới về an toàn thông tin mạng tại Việt Nam (Mã CH-0921)?,general,HIGH_SIGNAL,9,4,"[""cứu"", ""quy"", ""tra"", ""việt""]",0.363636,76.3636,tra cứu thông tin quy định an toàn,canonical_fetch_existing,http://tratu.soha.vn/dict/vn_vn/Quy,Nghĩa của từ Quy - Từ điển Việt - Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
CH-0421,Tra cứu thông tin: Quy định mới về an toàn thông tin mạng tại Việt Nam (Mã CH-0421)?,general,HIGH_SIGNAL,10,4,"[""cứu"", ""quy"", ""tra"", ""việt""]",0.363636,76.3636,tra cứu thông tin quy định an toàn,canonical_fetch_existing,http://tratu.soha.vn/dict/vn_vn/Quy,Nghĩa của từ Quy - Từ điển Việt - Việt,DDG_REQUEST_ERROR,,,[],[],,SOURCE_FETCHED_NOT_REVIEWED,human_review_after_ddg_short_alignment,Pre-review filter only. HIGH_SIGNAL means >=2 shared terms and >=0.20 coverage; REVIEW_SIGNAL means it passed the relaxed shortlist threshold and still requires independent source/gold verification. No row is accepted as gold automatically.
